gx,gy,gz,time,ang
-192,-32,-106,138684222,0.0036565868409579637
-191,-41,-109,138684784,0.003745079826849122
-186,-44,-111,138685352,0.003792614375561698
-171,-54,-103,138691306,0.0027627941060990547
-169,-53,-101,138691842,0.0026729268136674676
-178,-52,-109,138701051,0.0018636578241434411
-182,-53,-114,138701673,0.0018370661652481323
-183,-49,-113,138702743,0.001858219463041728
-172,-51,-99,138711003,0.000982054969033132
-178,-47,-104,138711561,0.0009880179092720326
-181,-46,-112,138712096,0.0009667734072889801
-184,-48,-116,138712655,0.0009263770614682825
-168,-46,-105,138721013,0.0013440664328563902
-167,-46,-102,138721569,0.0014370245671188491
-172,-47,-102,138722104,0.0014954088529329625
-180,-46,-106,138722697,0.0014905430607168137
-177,-44,-114,138728294,0.0014248579245168436
-175,-41,-111,138728830,0.0014629904077864174
-176,-43,-113,138737968,0.0020395728568760006
-184,-48,-110,138738592,0.0019958649564222383
-187,-48,-103,138739749,0.0018359317892628205
-175,-41,-95,138748020,0.0026506222026744975
-171,-50,-98,138748578,0.002703994816681439
-165,-52,-101,138749665,0.002854339343465427
-169,-54,-104,138756815,0.0035937096464216034
-169,-59,-108,138757350,0.0036478222147857823
-171,-52,-111,138757913,0.0036888768233455374
-170,-49,-114,138758469,0.0037319148272713398
-181,-47,-107,138766027,0.003473533984952178
-177,-40,-105,138766575,0.0034955257305267907
-170,-42,-104,138767110,0.0035720664998837633
-172,-42,-105,138767700,0.0036366255702063354
-162,-58,-116,138773276,0.004866808745377943
-163,-59,-114,138773832,0.005008937983620938
-169,-37,-108,138783068,0.006281154633387796
-172,-35,-104,138783686,0.006351655224914227
-173,-41,-99,138784801,0.006464797728580972
-178,-52,-108,138793006,0.0065295213039451416
-177,-51,-108,138793561,0.006545552866182769
-175,-46,-108,138794656,0.006606129959675108
-174,-46,-112,138801797,0.007103415208991034
-175,-46,-120,138802332,0.007135755146824798
-176,-43,-121,138803453,0.007189576523942764
-184,-43,-109,138809727,0.0066879943198949274
-181,-42,-113,138810262,0.006673420548151678
-179,-38,-112,138810817,0.006674459014385625
-178,-38,-112,138811352,0.0066844138876678
-183,-47,-112,138817819,0.0063414837470321195
-181,-47,-112,138826661,0.006218190491726903
-181,-53,-113,138827196,0.006219107126254938
-181,-53,-115,138827764,0.006226895647142568
-183,-45,-111,138828353,0.0062020322587156744
-175,-40,-108,138833274,0.006472832070239975
-174,-38,-107,138833828,0.006510341761558166
-182,-44,-101,138842365,0.005879016143647873
-179,-49,-101,138842942,0.005862986403971992
-181,-45,-112,138844152,0.00584354243888014
-182,-37,-102,138852058,0.005474095154790009
-177,-40,-103,138852615,0.005494003893541896
-170,-43,-110,138853711,0.005651089003990836
-182,-45,-108,138861687,0.005303691643823173
-184,-50,-112,138862222,0.005260564132868713
-179,-49,-110,138863319,0.005250555770520539
-180,-50,-112,138870535,0.005153010802819571
-176,-59,-118,138871070,0.005185556864463334
-175,-47,-114,138872163,0.00527870232153108
-180,-41,-114,138889997,0.006188623255068213
-178,-45,-108,138890553,0.006199551628955908
-173,-57,-100,138891088,0.006171131904628186
-174,-56,-100,138891638,0.006140234172938221
-173,-41,-109,138905493,0.007609931787546272
-177,-38,-109,138906028,0.007651556191705291
-180,-36,-109,138906588,0.0076823000559168774
-179,-39,-110,138907123,0.00771358611300971
-174,-49,-107,138918284,0.008148572050152082
-180,-43,-100,138918821,0.008117226710562243
-185,-38,-98,138919356,0.008057079407431212
-184,-38,-98,138919918,0.008002015898697097
-174,-41,-113,138927998,0.009019651270291487
-177,-42,-110,138928547,0.009053877404437425
-181,-44,-109,138929640,0.00904975740440512
-175,-56,-122,138936699,0.00998644301030386
-175,-55,-118,138937233,0.010050859798202855
-173,-57,-116,138937796,0.010118671543804724
-171,-55,-112,138938331,0.010178389493079263
-177,-42,-108,138945744,0.010469421681623159
-171,-43,-104,138946279,0.010505312918525961
-170,-47,-96,138946833,0.010500228137671876
-173,-53,-99,138947367,0.010483072435184617
-182,-46,-95,138953298,0.009602570098529759
-181,-44,-98,138953834,0.009549229046446082
-173,-56,-113,138962972,0.010473726661137465
-177,-54,-116,138963602,0.010533355195719402
-182,-55,-119,138964734,0.010604657954656654
-182,-49,-106,138973025,0.010190353548699238
-175,-49,-113,138973574,0.010246033344272303
-174,-49,-111,138974669,0.010349805733656008
-175,-43,-94,138981787,0.009883289042341781
-174,-42,-96,138982322,0.009871795215356373
-178,-44,-103,138982884,0.009860147826120925
