gx,gy,gz,time,ang
-211,-55,-56,36908295,0.0009203426463826078
-207,-52,-55,36908830,0.0009882746196942691
-220,-52,-57,36914996,0.0011071676601166992
-220,-47,-57,36915532,0.0011509628762312331
-215,-50,-53,36920951,0.0016934341470767806
-220,-55,-48,36921515,0.0017066668248906206
-218,-62,-50,36922612,0.0016792978871348655
-205,-42,-56,36929067,0.0035308795700906034
-230,-47,-58,36936304,0.003320913025734998
-230,-46,-60,36936839,0.0033264826932616035
-226,-47,-63,36937396,0.003339689250590558
-217,-50,-61,36937931,0.0033704751732599667
-228,-49,-49,36943989,0.0036437154786459506
-223,-47,-55,36944525,0.003689281490046356
-229,-44,-59,36952606,0.0045566871326494715
-233,-41,-58,36953168,0.004657641916036613
-231,-44,-55,36953702,0.004736680481760272
-227,-48,-55,36954280,0.004787063077754532
-227,-41,-63,36959978,0.005782908595771515
-221,-50,-60,36960535,0.005805648741844241
-211,-43,-51,36965997,0.006637115519123543
-221,-41,-51,36966533,0.006742269459343623
-228,-48,-54,36967630,0.006835376010920302
-225,-53,-58,36975664,0.006847557177605415
-223,-51,-52,36976221,0.006873187113969413
-228,-53,-48,36983622,0.007243069630160315
-224,-47,-58,37001690,0.008941075857885686
-230,-50,-66,37002244,0.008969881804426134
-230,-56,-67,37002779,0.008951317148596314
-226,-60,-64,37003340,0.008896233232548506
-237,-56,-58,37011696,0.00935521015120201
-238,-55,-50,37012254,0.009425491383702175
-233,-51,-41,37012789,0.009514909811778703
-228,-53,-43,37013339,0.009569769310666042
-230,-54,-50,37019000,0.010076994396710962
-230,-52,-49,37019537,0.010143898512852478
-227,-54,-57,37027641,0.010517517479514587
-225,-58,-54,37028200,0.010515664760918798
-222,-61,-52,37028735,0.010485093731325909
-220,-58,-50,37029324,0.010464899143147532
-219,-61,-53,37033983,0.010063319980732809
-218,-60,-61,37034520,0.009998813460737258
-221,-64,-65,37043722,0.008700416610984422
-220,-53,-56,37044304,0.008697448582382245
-217,-52,-52,37044864,0.008688649490214648
-219,-58,-49,37045420,0.008667321170267665
-219,-57,-57,37049975,0.008405796253092807
-218,-57,-50,37050532,0.008382792623493234
-233,-48,-65,37055959,0.009276200652637468
-229,-46,-55,37056512,0.009368808619147295
-227,-55,-57,37057610,0.009432059867605794
-221,-52,-57,37064112,0.009508750125292325
-222,-56,-54,37072722,0.009488935716683163
-226,-57,-60,37073272,0.009501166771917154
-227,-53,-61,37073807,0.00953608355307121
-228,-50,-60,37074395,0.009598398858457636
-219,-53,-55,37079972,0.009512453710900969
-210,-59,-62,37080531,0.009400961907306979
-213,-50,-53,37085957,0.009116892589666269
-219,-56,-55,37086510,0.009095196919219135
-214,-57,-62,37087608,0.00894736988939955
-227,-59,-46,37094112,0.009449945155389446
-214,-58,-67,37101332,0.0082194594112276
-218,-65,-70,37101867,0.008122148789409037
-219,-69,-70,37102426,0.008012412355742023
-221,-73,-72,37102961,0.007903646187914167
-228,-42,-59,37108996,0.008927877178723342
-227,-45,-59,37109533,0.009001499902444506
-213,-54,-48,37117642,0.008485823047890789
-212,-58,-48,37118196,0.008434067689514501
-216,-65,-52,37118731,0.008366400277642811
-218,-69,-62,37119326,0.008252626059666757
-220,-53,-50,37124985,0.008450960347604416
-214,-53,-52,37125522,0.008428753360135578
-215,-51,-77,37133425,0.007282965448836627
-217,-56,-71,37133960,0.007224265933975913
-219,-59,-66,37134584,0.007161173634931895
-221,-54,-62,37135146,0.0071505713731000575
-216,-45,-56,37141008,0.007344018973261244
-216,-47,-51,37141544,0.00736120766261039
-223,-40,-52,37150706,0.009070156744294384
-217,-51,-51,37151252,0.009076281756702406
-217,-58,-44,37152347,0.009026077062209923
-220,-66,-58,37160706,0.007699251784499198
-219,-68,-55,37161263,0.007605359286034879
-220,-67,-51,37161797,0.007536878543183189
-217,-51,-61,37168523,0.007321535892230935
-220,-54,-61,37177691,0.007030484615753407
-217,-48,-65,37178238,0.007029561999444925
-218,-47,-65,37178773,0.007040974930737781
-214,-49,-66,37179346,0.007017559442191143
-223,-53,-50,37184984,0.007256770839189787
-225,-59,-49,37185520,0.007258591736279998
-210,-62,-69,37190941,0.005946172987728506
-208,-59,-65,37191505,0.005828676854248369
-218,-51,-61,37192603,0.0058178494303274386
-228,-49,-51,37200668,0.006875417069230007
-228,-57,-50,37201225,0.006903581606218396
-227,-60,-52,37201777,0.006905244825673882
-219,-60,-55,37206960,0.006464846437967522
-220,-57,-63,37207511,0.006424769165943383
-213,-48,-76,37208609,0.006318806846618172
-222,-54,-55,37216690,0.006397898526275393
-213,-59,-50,37217284,0.0063288192028845055
-220,-64,-48,37218477,0.006233057756519924
-229,-61,-61,37226692,0.0063482782550612306
-231,-57,-64,37227250,0.006394489209178317
-224,-39,-55,37228336,0.006558716269382154
-224,-62,-62,37236725,0.006353273853181897
-225,-58,-59,37237273,0.006371152305519666
-224,-55,-55,37237808,0.006392605761160292
-225,-52,-30,37243524,0.0074032354733540836
-220,-63,-57,37252692,0.007045759555006911
-221,-60,-49,37253249,0.007072758177445703
-222,-59,-46,37253784,0.0071188564093638265
-225,-59,-44,37254372,0.007203055049298551
-227,-51,-64,37258988,0.00739991482303975
-222,-50,-65,37259524,0.007386347096359157
-228,-67,-61,37268727,0.008226517174422694
-229,-61,-58,37269305,0.008304311608779355
-231,-54,-55,37269867,0.008393914846016776
-229,-52,-52,37270425,0.00847114315261967
-222,-62,-44,37275986,0.00908955572629661
-219,-61,-50,37276522,0.009114662247809394
-220,-48,-54,37285708,0.009062047917917168
-221,-41,-59,37286261,0.009040982242514909
-225,-47,-63,37287355,0.009046683375660839
-233,-44,-61,37295702,0.010210112801913853
-232,-43,-63,37296249,0.010281841865603103
-223,-41,-57,37297335,0.010318576050273578
-222,-63,-55,37312914,0.010994697464658615
-226,-64,-55,37313450,0.011058535052298535
-227,-59,-60,37313985,0.011107200732341511
-218,-59,-47,37321536,0.011453462792127932
-230,-60,-57,37336182,0.013724935655715156
-229,-63,-57,37336734,0.013814058026853197
-224,-63,-58,37337321,0.01386715378797514
-223,-60,-64,37337856,0.013882495700597934
-226,-42,-54,37343978,0.014099467298243861
-217,-39,-53,37344550,0.014051272008316719
-223,-61,-54,37353699,0.014824625177115096
-221,-57,-62,37354254,0.01482142109882283
-222,-48,-70,37355348,0.014729874831967686
-222,-61,-58,37363685,0.015185936952762217
-216,-61,-55,37364240,0.015184225645850823
-216,-60,-47,37364775,0.015203492417058111
-220,-56,-45,37365335,0.015246173344124462
-213,-56,-55,37371524,0.01483025910716213
