gx,gy,gz,time,ang
-217,-59,-43,27937605,0.00011864689345541618
-234,-56,-49,27946762,0.001078626687272792
-234,-50,-47,27947327,0.0011152205625775213
-218,-41,-37,27948451,0.0009311958513256181
-220,-46,-54,27956765,0.00040447971397173803
-229,-49,-57,27957322,0.0004498147596172114
-235,-50,-49,27958416,0.0004016621651122062
-222,-49,-54,27966558,0.0013169629385498766
-219,-51,-56,27967093,0.0013992013860830257
-216,-53,-57,27967655,0.0015031634929494923
-232,-65,-67,27973604,0.0027792890766368083
-216,-64,-73,27982204,0.006547860782181802
-216,-68,-72,27982739,0.006789635124107373
-217,-71,-64,27983302,0.006992137204377115
-221,-65,-59,27983836,0.00712063497881941
-229,-58,-71,27990076,0.009135488927420112
-223,-48,-69,27990612,0.009278367966799353
-215,-54,-65,27996301,0.010876263600656315
-213,-61,-62,27996836,0.011031454634491043
-224,-54,-53,28003106,0.011535086606154458
-214,-56,-38,28011766,0.011267532328830014
-210,-45,-37,28012323,0.011240913394318014
-215,-38,-43,28012858,0.01121132239044214
-217,-41,-51,28013408,0.011234648811951742
-229,-43,-73,28019069,0.012568256482480528
-234,-51,-68,28019605,0.012671607336238044
-227,-53,-58,28027395,0.013632148929504982
-225,-53,-56,28027930,0.01369151435339761
-225,-53,-56,28028491,0.013753767926015957
-227,-51,-57,28029038,0.01380992615772109
-221,-46,-55,28035059,0.014398375546691797
-226,-48,-65,28035596,0.014508670738602564
-218,-50,-55,28044804,0.015784940775198368
-221,-53,-58,28045403,0.015884610112823463
-228,-53,-67,28046494,0.0161354364179492
-219,-55,-66,28054789,0.018548688251151524
-221,-54,-64,28055344,0.018685869643907175
-227,-54,-60,28056430,0.018849678931275027
-211,-56,-71,28064743,0.0223299146487704
-215,-53,-72,28065301,0.02254917334989417
-220,-49,-70,28065836,0.022719124800153315
-221,-48,-66,28066395,0.0228621306769663
-232,-46,-52,28072046,0.022789453008692406
-223,-48,-62,28072602,0.02289594467657072
-224,-50,-46,28081737,0.02271374264655038
-224,-49,-43,28082326,0.022678508918192057
-228,-48,-43,28083459,0.0225729820982785
-210,-52,-62,28091775,0.025111514484989075
-213,-60,-65,28092331,0.025299208248525096
-216,-57,-60,28093425,0.025565414539483213
-223,-59,-46,28101784,0.025704728590605786
-221,-52,-49,28102340,0.02573529888893937
-221,-55,-50,28102875,0.025775735363705404
-227,-58,-47,28103426,0.02577289530561682
-222,-49,-51,28109064,0.026128025788221498
-220,-50,-53,28109600,0.026186083418978153
-210,-60,-35,28118781,0.02646845143241574
-213,-58,-33,28119349,0.0264665764178356
-218,-59,-39,28119934,0.02647501307537001
-220,-61,-43,28120489,0.026499452018227433
-220,-50,-55,28126062,0.027249906786145577
-217,-43,-54,28126629,0.027325612417716024
-229,-62,-71,28135765,0.0296961627581154
-227,-61,-71,28136316,0.029853722233483745
-219,-53,-66,28137409,0.030155899055176332
-221,-65,-58,28145792,0.03195457524195024
-228,-55,-57,28146339,0.03200800621246217
-230,-47,-61,28146874,0.03205594664865058
-217,-64,-49,28152589,0.03292903962637053
-222,-58,-52,28161758,0.03397540149494738
-212,-53,-55,28162316,0.03409729230807474
-211,-45,-59,28162851,0.03422138014904306
-221,-48,-50,28168591,0.03453447988139293
-223,-50,-56,28177749,0.035541160624499864
-225,-50,-56,28178307,0.03559183459248777
-229,-50,-58,28178842,0.03563108508718126
-231,-53,-55,28179433,0.035651780901936096
-221,-56,-53,28184046,0.036227153163950164
-225,-57,-63,28184601,0.03633709965986209
-228,-58,-53,28192402,0.036855681854313684
-227,-56,-45,28192937,0.0368454516005354
-221,-54,-42,28193498,0.03684363990807907
-217,-51,-45,28194063,0.03687388358605966
-205,-41,-67,28199060,0.03869136360670042
-204,-45,-66,28199597,0.03889861576988393
-221,-49,-61,28208393,0.04049801126587402
-224,-56,-64,28208927,0.040612342027208155
-229,-58,-68,28209548,0.040747129663563225
-235,-57,-71,28210104,0.0408517064119622
-220,-56,-54,28216056,0.0417086710561437
-215,-51,-56,28216607,0.04181604244954853
-218,-50,-46,28225760,0.042312512120861984
-223,-54,-45,28226311,0.04231844336743353
-220,-57,-49,28227404,0.04242340413365945
-220,-51,-53,28232118,0.042965198987317335
-217,-68,-42,28232734,0.04302496989856206
-210,-54,-70,28241767,0.04672608937500361
-211,-54,-67,28242323,0.04693074161857313
-223,-57,-59,28243419,0.04711800060595409
-220,-54,-61,28251775,0.048888251542770336
-224,-52,-64,28252333,0.04899756548999343
-225,-50,-63,28252868,0.04908727539343424
-224,-46,-61,28253427,0.049166480919443714
-208,-47,-50,28259056,0.05025441248606834
-208,-45,-47,28259593,0.05033936642559411
-229,-46,-67,28268774,0.05178074520230309
-228,-44,-64,28269332,0.05185500289504461
-227,-47,-63,28269919,0.0519383980926789
-223,-51,-64,28270471,0.052052264350850114
-215,-39,-62,28276054,0.053340829429210646
-216,-44,-60,28276609,0.053460342492014055
-228,-61,-58,28285763,0.054554819438708727
-224,-61,-56,28286330,0.05463374721372938
-229,-48,-63,28287424,0.05477404564139147
-208,-64,-59,28292118,0.05637903377022325
-207,-59,-61,28292735,0.05660084362227953
-214,-57,-61,28293341,0.056772329301670324
-231,-47,-65,28298029,0.05736577510951573
-230,-42,-68,28298584,0.057452953017885444
-221,-38,-55,28299740,0.057554604489458025
-219,-51,-53,28304047,0.05809176965246606
-214,-49,-62,28304596,0.05823979837578941
-224,-59,-65,28311675,0.05990147842133959
-224,-45,-58,28319748,0.06082596683033252
-222,-48,-53,28320305,0.06087406734542956
-217,-56,-47,28320839,0.060921571189865506
-219,-59,-47,28321398,0.06096529313247745
-220,-60,-54,28327050,0.0618238745319626
-221,-58,-55,28327586,0.06190327273007198
-219,-59,-45,28334010,0.06228114307150272
-221,-59,-49,28334574,0.06232931361522189
-219,-45,-63,28341110,0.06375688709771786
-215,-46,-55,28348217,0.06498887985949844
-214,-44,-58,28348752,0.06510265469847171
-218,-43,-61,28349296,0.06521336251245134
-221,-46,-59,28349831,0.06529861191294462
-221,-50,-46,28356609,0.0654717046252927
-221,-45,-69,28365789,0.06795046460247227
-225,-50,-69,28366338,0.06808463474733319
-228,-56,-59,28366933,0.06815350024348545
-225,-56,-47,28367497,0.0681592075661351
-226,-57,-68,28373039,0.06949529353571388
-221,-59,-69,28373596,0.06966674165430671
-219,-52,-63,28382119,0.07172897366012365
-222,-50,-66,28382734,0.07187812909298866
-220,-58,-59,28383848,0.07210168192452032
-215,-47,-62,28388062,0.07318905900231099
-216,-47,-62,28388598,0.07332233414597111
-225,-53,-62,28389152,0.07341893912668404
-225,-59,-57,28394009,0.07405516632566266
-223,-56,-62,28394573,0.0741687063382731
-219,-52,-66,28401671,0.0761351018928002
-214,-41,-43,28409743,0.07643664317365999
-219,-47,-46,28410300,0.07645796453641827
-222,-47,-52,28410835,0.07649902717756732
-216,-50,-55,28411393,0.0765977574232476
-215,-54,-62,28416595,0.07802703557735098
-229,-44,-54,28425786,0.07825231364062232
-232,-37,-52,28426334,0.07823046818714702
-232,-37,-55,28426933,0.07822743534137225
-229,-43,-60,28427494,0.0782797028380337
-223,-53,-50,28432061,0.07853443138183307
-224,-51,-51,28432597,0.07856325578498177
-227,-48,-60,28440431,0.07952185581333601
-221,-54,-64,28440966,0.07964943565777953
-220,-59,-62,28441519,0.07977867314003259
-221,-61,-58,28442110,0.07988572187688917
-221,-53,-63,28447044,0.08099756305036566
-223,-48,-69,28447599,0.08114573262302494
-229,-51,-49,28456046,0.08098883107345857
-226,-50,-51,28456612,0.08100707341833162
-220,-45,-48,28457807,0.08106384914267563
-220,-44,-68,28465787,0.08329525409850225
-225,-45,-64,28466343,0.08339940296608936
-230,-43,-65,28467437,0.08356154459025442
-217,-57,-62,28475776,0.08572031870951963
-218,-62,-54,28476330,0.08581072236700955
-220,-62,-51,28476865,0.0858689634486999
-214,-54,-49,28483592,0.0867573576165783
-224,-54,-40,28491198,0.08623725941471586
-230,-54,-38,28491733,0.08615701480257376
-229,-48,-44,28492278,0.08611283939442055
-227,-44,-51,28492813,0.0861195814934135
-217,-63,-56,28499045,0.08737478952419453
-219,-66,-58,28499602,0.08749221302302665
-216,-57,-71,28507403,0.09040397980714499
-215,-59,-61,28507938,0.09054973299027662
-216,-56,-54,28508490,0.09064720575619027
-221,-46,-53,28509046,0.09070104777810327
-234,-51,-53,28515067,0.09056889670508962
-235,-50,-54,28515603,0.09055730541630859
-220,-53,-63,28521270,0.09188971563955259
-221,-54,-62,28521804,0.09200490423775018
-226,-61,-52,28528101,0.0924129033107316
-221,-57,-56,28536215,0.09365134871783984
-217,-47,-54,28536750,0.09373038327338742
-221,-42,-51,28537312,0.09376617708302709
-226,-42,-55,28537847,0.0937989450445242
-226,-45,-62,28544058,0.09472592812996344
-225,-44,-58,28544595,0.0947857069123794
-228,-56,-65,28553775,0.0965147051793962
-233,-55,-60,28554333,0.09656005617057642
-230,-51,-44,28554921,0.09650901241817915
-224,-54,-35,28555472,0.09643749453496128
-224,-58,-58,28561056,0.09727206601388769
-218,-53,-58,28561614,0.0973814885569912
-216,-44,-51,28570760,0.09843537399014629
-208,-45,-49,28571309,0.09853000654630853
-210,-41,-42,28572404,0.09860062815326379
-228,-51,-61,28577121,0.09922044386871144
-223,-48,-60,28577739,0.09932091255204593
-230,-51,-56,28586766,0.09981170023337001
-227,-54,-54,28587322,0.09984793718750494
-216,-53,-53,28588416,0.1000188289416619
-217,-54,-58,28596776,0.10175453434035786
-217,-53,-54,28597332,0.10184285267652247
-214,-55,-48,28597867,0.10190749517499714
-215,-60,-51,28598427,0.10199479797275968
-219,-49,-60,28604056,0.10313697503575046
-215,-52,-59,28604592,0.10326296866185804
-226,-53,-43,28613773,0.10274761747608054
-224,-54,-48,28614330,0.10276083838724953
-223,-53,-53,28614921,0.10281396037728313
-224,-55,-55,28615468,0.10287262146488872
-229,-55,-54,28621053,0.10313717200921031
-231,-51,-55,28621615,0.10315537685336061
-229,-48,-51,28630756,0.10314964906954324
-223,-50,-53,28631305,0.10319590710404314
-218,-61,-64,28632400,0.10350406855949285
-230,-59,-55,28640513,0.10397319095671187
-222,-53,-52,28641048,0.10401998704847454
-211,-47,-54,28642133,0.1042413150914829
-214,-50,-69,28648658,0.10657765229349861
-215,-55,-57,28657286,0.10844997390257648
-218,-53,-59,28657821,0.1085613057552576
-222,-48,-61,28658381,0.10866410512001981
-222,-40,-60,28658915,0.1087477154051397
-222,-59,-57,28664052,0.10955921683319532
-224,-62,-59,28664588,0.10964952532818836
-224,-49,-47,28673769,0.10966967318475482
-229,-47,-47,28674328,0.10964192746550513
