gx,gy,gz,time,ang
-213,-49,-38,344577592,0.00314892647692427
-212,-52,-38,344578128,0.0032744386534702984
-211,-58,-32,344578663,0.003465053570231232
-221,-47,-21,344584655,0.005568139969131527
-213,-53,-20,344585191,0.005829296614502772
-221,-49,-26,344594416,0.009066933668044293
-223,-47,-29,344595026,0.009250843080097475
-225,-42,-31,344595561,0.009386377839899184
-226,-44,-33,344596113,0.009510594817205
-204,-48,-28,344601654,0.011960984371805504
-201,-49,-27,344602254,0.012254483650927819
-246,-48,-29,344611352,0.013970352002826395
-244,-46,-25,344612999,0.01447695916192728
-249,-53,-52,344627339,0.01374316720927921
-251,-50,-49,344627897,0.013773653437471054
-254,-48,-48,344628432,0.013816979966480743
-257,-47,-40,344628990,0.013936985214865739
-252,-48,-24,344636901,0.017628426256302388
-254,-47,-21,344637436,0.01791579013270979
-255,-44,-28,344638527,0.01840074379901153
-252,-34,-26,344646330,0.022175868600144696
-255,-41,-24,344646917,0.022491888809084794
-256,-35,-44,344656361,0.025438292481398863
-258,-32,-44,344658005,0.026049395532441077
-179,-62,-61,344672352,0.019250641243047553
-182,-69,-57,344672910,0.01909897182938881
-184,-84,-55,344673445,0.018963597973154618
-187,-99,-53,344673996,0.01884012493545002
-215,-137,-37,344682364,0.022057251752115287
-220,-133,-33,344682910,0.022462018433676026
-229,-135,-23,344684006,0.023483899941422443
-267,-95,-50,344701347,0.03250028412923418
-259,-98,-49,344701902,0.032869103893754206
-257,-102,-46,344702437,0.033259570907099995
-260,-102,-43,344702995,0.03369398763474273
-212,-107,-45,344717313,0.0427940835418625
-209,-103,-43,344717869,0.043158558708473085
-204,-82,-44,344718965,0.043561203230958905
-228,-40,-35,344733851,0.04321052904970991
-232,-49,-41,344734386,0.04324127663342597
-242,-55,-42,344734934,0.04332367500330685
-246,-62,-45,344735469,0.04344175267604589
-255,-93,-42,344741667,0.04753260959034865
-258,-96,-37,344742204,0.0479407403967043
-251,-62,-52,344750275,0.04957371962054892
-246,-61,-51,344750820,0.04967499437483914
-241,-61,-48,344751355,0.04977557671041597
-240,-60,-49,344751940,0.049871348488384114
-222,-61,-49,344757187,0.05038141184057784
-207,-52,-41,344766368,0.050336929012408625
-202,-45,-43,344766941,0.050271652208572236
-190,-52,-46,344767510,0.05022135684181792
-187,-58,-50,344768064,0.05019256091766365
-180,-73,-39,344772643,0.05126190388927792
-188,-73,-38,344773179,0.051416094331833355
-181,-104,-33,344782431,0.05851460509767176
-181,-103,-31,344783004,0.058985484121038184
-187,-100,-23,344783539,0.059439544271406373
-191,-98,-17,344784097,0.059925990410737075
-189,-87,-27,344789660,0.06363048643813764
-186,-88,-30,344790271,0.06404234252952362
-156,-97,-11,344799357,0.07350612751788316
-158,-97,-8,344799915,0.07413111415542156
-162,-94,-5,344801009,0.07533568975618611
-159,-97,-3,344808091,0.08383251891171163
-157,-103,-1,344808626,0.08454239140171915
-153,-97,5,344809710,0.08597956356228997
-164,-113,-2,344817340,0.09690191689379322
-166,-108,-2,344817897,0.09766735225203316
-164,-105,-5,344818432,0.09837703966167695
-163,-100,-4,344818992,0.0990951588198251
-149,-119,-6,344824643,0.1080211141590175
-148,-114,-8,344825180,0.10883950149579981
-166,-100,-17,344834372,0.11982746825566716
-164,-98,-14,344834983,0.12057214170792974
-164,-94,-13,344835518,0.12120448171953799
-168,-95,-13,344836079,0.12185997780854901
-181,-100,-24,344841641,0.12774454315749642
-182,-93,-26,344842218,0.12829752734619268
-193,-88,-24,344850736,0.135485171131398
-194,-89,-30,344851354,0.13598186232645587
-196,-86,-27,344851978,0.13646785935337624
-206,-75,-24,344858367,0.14035605064994536
-215,-69,-20,344863179,0.14281221437625463
-213,-73,-28,344869595,0.14607237387354913
-208,-78,-26,344870159,0.1464188107635026
-211,-78,-14,344879421,0.15279487227967603
-215,-75,-13,344880030,0.1531829575429257
-220,-80,-11,344880565,0.15354385047654712
-226,-86,-15,344881101,0.15390205922786915
-222,-84,-26,344886655,0.1571589946192646
-216,-88,-29,344887257,0.15754902935766116
-225,-88,-29,344896353,0.16290846298554493
-227,-93,-26,344896908,0.16327378522276792
-216,-105,-19,344897993,0.16427344312345546
-204,-101,-13,344906381,0.17268572026486365
-208,-102,-12,344906931,0.17323381495389034
-214,-106,-13,344907466,0.17376611815481785
-207,-98,-34,344914189,0.17902341499712557
-227,-76,-31,344934345,0.18770110724535058
-227,-73,-34,344934901,0.187909048920649
-227,-73,-30,344935436,0.1881263791929882
-227,-75,-24,344935996,0.18839375980993678
-232,-71,-25,344943789,0.19146966706845364
-231,-70,-26,344944324,0.19167443605571827
-234,-62,-27,344944866,0.19181825708615824
-237,-75,-22,344951249,0.1946220828470669
-223,-82,-29,344960367,0.19959748205175973
-219,-83,-28,344960924,0.19992544402866658
-221,-86,-27,344961459,0.20025723613474733
-227,-91,-25,344962031,0.20063480578010948
-213,-89,-36,344966641,0.20352199043503352
-210,-90,-31,344967178,0.2038959271121717
-204,-116,-21,344975278,0.21291691107677416
-206,-108,-19,344975821,0.21347435294671938
-205,-105,-18,344976356,0.21401230585460188
-211,-107,-17,344983199,0.22087800002686747
-193,-121,-8,344998339,0.24118048673904155
-193,-123,-9,344998896,0.2419361405118707
-195,-120,-14,344999464,0.24265762151289022
-199,-114,-20,345000075,0.24334768292723635
-209,-105,-15,345005642,0.24895803868162575
-207,-109,-8,345006178,0.24955947137075185
-199,-97,-21,345015385,0.2580510867183653
-207,-99,-20,345015961,0.25857448692954255
-215,-110,-15,345017054,0.25970287656622226
-209,-98,-18,345025369,0.2672004779176193
-212,-96,-21,345025927,0.2676677823341656
-211,-89,-26,345026462,0.26805352020718115
-224,-81,-13,345032179,0.2718190800240997
-239,-77,-7,345041340,0.2771504923488721
-242,-79,-9,345041894,0.27747039274595114
-242,-80,-16,345042429,0.277755015790135
-252,-69,-29,345049178,0.2794161177209587
-235,-67,-43,345069355,0.28342619012807574
-242,-65,-43,345069911,0.2835050209823272
-245,-64,-43,345070445,0.2835665612236638
-250,-58,-42,345070996,0.2835820180215963
-400,-46,-37,345085343,0.2742785929718677
-411,-48,-27,345085901,0.274060578899568
-425,-45,-26,345086436,0.27382374399187936
-433,-43,-29,345086995,0.2735457357919065
-282,-32,-53,345106340,0.2658921897558207
-281,-25,-54,345106896,0.2656337840787958
-274,-14,-55,345107431,0.26531617328584023
-270,-8,-55,345107991,0.26494743016531513
-88,138,-47,345122362,0.23957107156630186
-84,130,-41,345122910,0.23886012658628783
-78,103,-44,345124004,0.23779113344037525
46,-173,-16,345132342,0.2628783522234852
53,-183,-7,345132897,0.26478917956148756
63,-195,-2,345133432,0.26676783645346885
67,-207,3,345133992,0.26896206036416986
82,-236,15,345139644,0.29466951944845715
83,-229,22,345140180,0.2971635763361711
-2,-60,31,345149376,0.3200682935295671
-15,-49,35,345149986,0.3215458556952884
-30,-33,37,345150521,0.32270878413003495
-43,-14,41,345151079,0.32378532177230984
-85,66,42,345156642,0.32884123374532226
-83,75,42,345157183,0.329344404047462
-160,148,4,345166339,0.32412506528360413
-168,155,8,345166895,0.32384651261174374
-176,175,11,345167988,0.3231148482535871
-152,215,-20,345176346,0.3165251245514814
-148,223,-15,345176903,0.3162464484139503
-143,239,-4,345177998,0.315827730724594
-102,167,29,345185269,0.32297541977537536
-98,160,26,345185814,0.3236348840811178
-95,157,22,345186349,0.3242972877638371
-87,152,25,345186924,0.32510135584971595
-39,62,55,345192181,0.33905346730010966
59,-67,88,345201363,0.38131580727579434
64,-71,96,345201946,0.38410286115575115
72,-79,99,345202533,0.38699639241926875
70,-86,98,345203080,0.38968885454997987
106,-84,99,345207637,0.4140812475420386
111,-83,108,345208192,0.41713862300029736
133,-107,112,345213593,0.44896723695358065
131,-110,112,345214157,0.4522915495064408
142,-132,120,345221512,0.4977493275925728
138,-129,92,345229355,0.5440654146057026
139,-124,87,345229905,0.54729791012661
140,-117,84,345230439,0.5504190077908957
138,-110,86,345230998,0.5536716352057746
110,-76,71,345237194,0.586253301940941
69,-9,63,345246330,0.6276026118897439
72,-9,59,345246903,0.630213741933716
32,38,33,345256332,0.6656423326320902
32,41,36,345256889,0.6677660770652962
22,43,39,345257984,0.6718291152191241
-19,41,13,345266364,0.6970438386136502
-12,38,8,345266922,0.6987684313491692
-12,40,8,345267457,0.7004217618970796
-46,38,-14,345274181,0.7172201722098616
-101,-8,-42,345281863,0.7299267735596637
